,value
1711486809.034045,-0.013916015625
1711486809.3210442,-0.008544921875
1711486809.5581107,-0.0076904296875
1711486809.7711112,-0.003662109375
1711486810.0021105,-0.003662109375
1711486810.243111,-0.00390625
1711486810.4411123,-0.0042724609375
1711486810.6391096,-0.0042724609375
1711486810.833243,-0.007080078125
1711486811.0322454,-0.0126953125
1711486811.2312458,-0.0126953125
1711486811.43225,-0.0123291015625
1711486811.63225,-0.0106201171875
1711486811.833249,-0.0106201171875
1711486812.0532506,-0.0106201171875
1711486812.2552817,-0.0076904296875
1711486812.448284,-0.0008544921875
1711486812.6823099,0.012847900390625
1711486812.88231,0.012847900390625
1711486813.0963094,0.012237548828125
1711486813.3103087,0.007598876953125
1711486813.5193179,0.008209228515625
1711486813.7143228,0.014190673828125
1711486813.9154599,0.015045166015625
1711486814.116462,0.016876220703125
1711486814.316612,0.016876220703125
1711486814.516609,0.016876220703125
1711486814.7156196,0.016876220703125
1711486814.917627,0.018341064453125
1711486815.1146283,0.027008056640625
1711486815.3176284,0.027252197265625
1711486815.5166397,0.027618408203125
1711486815.737637,0.029937744140625
1711486815.9396365,0.029937744140625
1711486816.135413,0.029937744140625
1711486816.3366582,0.029571533203125
1711486816.534659,0.023223876953125
1711486816.7356582,0.026153564453125
1711486816.9356592,0.027618408203125
1711486817.1366582,0.029327392578125
1711486817.336659,0.018341064453125
1711486817.535658,0.008941650390625
1711486817.7346585,3.0517578125e-05
1711486817.9336586,0.000640869140625
1711486818.1496606,0.003814697265625
1711486818.3496609,0.009796142578125
1711486818.5516593,0.009307861328125
1711486818.7466593,0.004302978515625
1711486818.961659,-0.0059814453125
1711486819.1676593,-0.00537109375
1711486819.3655937,-0.008056640625
1711486819.5765924,-0.015625
1711486819.764603,-0.0194091796875
1711486819.9625995,-0.0198974609375
1711486820.165601,-0.02392578125
1711486820.3626,-0.0255126953125
1711486820.5625992,-0.0286865234375
1711486820.7626002,-0.0303955078125
1711486820.963603,-0.034423828125
1711486821.1629138,-0.0352783203125
1711486821.3610525,-0.0445556640625
1711486821.5620518,-0.043212890625
1711486821.7606199,-0.0439453125
1711486821.95062,-0.0477294921875
1711486822.141619,-0.0408935546875
1711486822.326619,-0.0426025390625
1711486822.5061283,-0.0394287109375
1711486822.695128,-0.043212890625
1711486822.8949406,-0.035888671875
1711486823.0959413,-0.0338134765625
1711486823.3169432,-0.028076171875
1711486823.5062168,-0.02197265625
1711486823.693216,-0.0225830078125
1711486823.8752162,-0.0224609375
1711486824.062216,-0.025390625
1711486824.261216,-0.0228271484375
1711486824.4622164,-0.01611328125
1711486824.664227,-0.01123046875
1711486824.897225,-0.007080078125
1711486825.100225,-0.0062255859375
1711486825.3002765,-0.001953125
1711486825.5009623,-0.000732421875
1711486825.7199652,0.002838134765625
1711486825.936006,0.003204345703125
1711486826.1330044,0.011260986328125
1711486826.3531966,0.017364501953125
1711486826.5477967,0.020904541015625
1711486826.7468677,0.021514892578125
1711486826.9519117,0.020538330078125
1711486827.1499245,0.020538330078125
1711486827.3929605,0.022613525390625
1711486827.5859616,0.035064697265625
1711486827.7839644,0.039215087890625
1711486827.9969647,0.038604736328125
1711486828.2449608,0.033721923828125
1711486828.4569623,0.025909423828125
1711486828.6549606,0.023223876953125
1711486828.884962,0.022613525390625
